Name|Type|Prerequisites|Benefit|Summary
Improved Sunder|General||You have +4 on your <a href="Combat.php#ManeuverBonus">maneuver bonus</a> when you attempt to strike an object held by another character (see <a href="CombatActions.php?Name=Sunder">Sunder</a>).|+4 to hit when <a href="CombatActions.php?Name=Sunder">striking held objects</a>.
Improved Throw|General||You can throw an opponent as part of any <a href="CombatActions.php?Name=Grapple">grapple</a> check, allowing you to grab, grapple and throw an opponent as a standard action rather than a full-round action.|Can throw opponents more readily.
Improved Trip|General||You have a +2 bonus on checks to trip an opponent, and there is no possibility that you will fall, even if you fail the attempt by 10 or more (see <a href="CombatActions.php?Name=Trip">Trip</a>).|+2 bonus to <a href="CombatActions.php?Name=Trip">trip opponents</a>.
Improvised Tools|Expert||You can make do with whatever tools you have at hand. You ignore the -4 penalty for using a tool-dependent skill without proper tools.|No penalty for using a skill without the proper tools.
Inspire|Expert|Charisma +1 or higher|You can inspire others with your presence. You can take this feat multiple times. Each time, you acquire a new type of inspiration. Using any Inspire effect requires a standard action to initiate and a move action each round to maintain and is considered a use of an interaction skill, even though no skill check is required. This means your subjects have to be able to hear and understand you. <br />You can affect a number of subjects equal to half your <a href="RolesExpert.php">expert</a> and <a href="RolesGeneralist.php">generalist</a> levels (combine both; with a minimum of one), and the effects last for as long as you continue spending a move action each round to maintain them. Unwilling targets make a Will saving throw (Difficulty 10 + half your <a href="RolesExpert.php">expert</a> and <a href="RolesGeneralist.php">generalist</a> levels + your Charisma).<br />Each time you take this feat, choose one of the following effects: <br /><em>Awe:</em> The subjects are overcome with your presence. They are <a href="PlayingConditions.php?Name=Dazed">dazed</a> (taking no action, but defending normally) for one round. On each of the following rounds, subjects can make a Will save (with a cumulative +1 bonus for each save) to shake off their awe and act normally. <br /><em>Competence:</em> Subjects are better able to focus on the task at hand, gaining a +2 bonus on all <a href="Skills.php">skill checks</a>. <br /><em>Complacency:</em> The subjects let down their guard. They suffer a -5 penalty on <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> checks. This also counts as a distraction sufficient to hide using <a href="Skills.php?Name=Stealth">Stealth</a>. <br /><em>Courage:</em> The subjects overcome fear and doubt. They gain a +1 bonus on saves against fear and doubt and a +1 bonus on <a href="Combat.php#AttackBonus">Attack rolls</a> and <a href="Combat.php#Damage">damage</a>. This bonus increases to +2 when you are an 8th level expert, +3 at 14th, and +4 at 20th. <br /><em>Fear:</em> Subjects are overcome with fear and anxiety. They are <a href="PlayingConditions.php?Name=Shaken">shaken</a> and suffer a -2 penalty to <a href="Combat.php#AttackBonus">Attack rolls</a>, checks, and <a href="BasicsSavingThrows.php">saving throws</a> (except Toughness saves). If the save fails by 5 or more, they are <a href="PlayingConditions.php?Name=Panicked">panicked</a> and flee from you as quickly as possible. <br /><em>Fury:</em> Subjects gain the benefits of <a href="Feats.php?Name=Rage">the Rage feat</a> but also the normal fatigue when the rage wears off.|You can inspire others with your presence.
Intimidating Prowess|General||Add your Strength to <a href="Skills.php?Name=Intimidate">Intimidate</a> checks, rather than your Charisma.|Use Str for <a href="Skills.php?Name=Intimidate">Intimidate</a> instead of Cha.|
Iron Will|General||You get a +2 bonus on all Will saving throws.|+2 bonus to Will saving throws.
Jack-of-All-Trades|Expert||You can use any <a href="Skills.php">skill</a> untrained, even skills that normally cannot be used untrained. You must still have proper tools if a <a href="Skills.php">skills</a> requires them.|You can use any <a href="Skills.php">skill</a> untrained.
Lightning Reflexes|General||You get a +2 bonus on all Reflex saving throws.|+2 bonus on Reflex saving throws.
Lucky|General|Charisma +1|The universe just seems to like you. Add your Charisma score as a bonus to your Fortitude, Reflex, and Will <a href="BasicsSavingThrows.php">saving throws</a>.|Add your Cha score to your <a href="BasicsSavingThrows.php">saving throws</a>.
Maneuver Finesse|Warrior||You can use your Dexterity bonus, rather than your Strength bonus, to calculate your <a href="Combat.php#ManeuverBonus">Maneuver Bonus</a>. You can also retain your <a href="Combat.php#Dodge">Dodge</a> against all opponents while <a href="CombatActions.php?Name=Grapple">grappling</a>.|Use Dex in place of Str for <a href="Combat.php#ManeuverBonus">Maneuver Bonus</a>.
Martial Weapon Training|General||You're trained in the proper use of <a href="EquipmentWeapons.php?Type=Martial">martial weapons</a>. Characters lacking Martial Weapon Training suffer a -4 penalty on <a href="Combat.php#AttackBonus">attack rolls</a> with <a href="EquipmentWeapons.php?Type=Martial">martial weapons</a>.|You're trained in the use of <a href="EquipmentWeapons.php?Type=Martial">martial weapons</a>.
Mass Suggestion|Expert|<a href="Feats.php?Name=Suggestion">Suggestion</a>|You can make the same suggestion simultaneously to any number of subjects you have already fascinated (see the <a href="Feats.php?Name=Suggestion">Suggestion</a> feat). You must make the same suggestion to everyone.|Make a <a href="Feats.php?Name=Suggestion">suggestion</a> to an entire group.
Master Plan|Expert||If you have the opportunity to prepare for an encounter, you can formulate a plan to deal with it. This requires at least a few minutes, longer at the Narrator's discretion. Make an Intelligence check (Difficulty 10). If successful, you and your allies gain a bonus on all skill checks and attack rolls in the scene depending on the result of your check: +1 for a roll of 10-14, +2 for 15-24, and +3 for 25 or higher. You choose when during the scene to initiate your master plan. The bonus lasts for 3 rounds, then begins decreasing at a rate of 1 per round until it is gone. You can only use this feat when you have the opportunity to prepare for an encounter in advance, not when dealing with sudden or unexpected encounters.|Gain a bonus when you have a chance to prepare.
Mind Over Body|Adept||You can exert great mental control over your body. When you make Constitution checks, you can substitute your Wisdom score for your Constitution score, so long as you are conscious. You can also apply your Wisdom bonus rather than your Constitution bonus to your Fortitude saving throws.|Substitute your Wisdom score for Constitution checks.
Monkey Companion|Expert||You have a trained monkey who follows you around, helps you beg and maybe to steal, does some neat trickes, and occasionally has run-ins with the law.</p><table style="width:600px"><th class="center">Level</th><th class="center">Abilities</th><th class="center">Tricks</th><th>Special</th><tr class="odd-row"><td class="center">1-2</td><td class="center">+0</td><td class="center">1</td><td>Monkey Feat, Monkey See Monkey Do</td></tr><tr><td class="center">3-5</td><td class="center">+0</td><td class="center">2</td><td></td></tr><tr class="odd-row"><td class="center">6-8</td><td class="center">+1</td><td class="center">3</td><td>Monkey Feat</td></tr><tr><td class="center">9-11</td><td class="center">+1</td><td class="center">4</td><td></td></tr><tr class="odd-row"><td class="center">12-14</td><td class="center">+2</td><td class="center">5</td><td>Monkey Feat</td></tr><tr><td class="center">15-17</td><td class="center">+2</td><td class="center">6</td><td></td></tr><tr class="odd-row"><td class="center">18-20</td><td class="center">+3</td><td class="center">7</td><td>Monkey Feat</td></tr></table><p><i>Abilities:</i> This is a bonus to the monkey's Dexterity, Intelligence and Wisdom scores.</p><p><i>Bonus Tricks:</i> This is the total number of tricks the monkey knows, in addition to any you might choose to teach it using the Handle Animal skill. These tricks don't require any training time and don't count against the normal limit of tricks known by an animal.</p><p><i>Monkey Feat:</i> Your monkey gets a bonus feat at levels 1, 6, 12 and 18 selected from this list: <a href="Feats.php?Name=Dodge%20Focus">Dodge Focus</a>, <a href="Feats.php?Name=Evasion">Evasion</a>, <a href="Feats.php?Name=Fascinate">Fascinate</a>, <a href="Feats.php?Name=Hide%20in%20Plain%20Sight">Hide in Plain Sight</a>, <a href="Feats.php?Name=Improved%20Evasion">Improved Evasion</a>, <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a>, <a href="Feats.php?Name=Point%20Blank%20Shot">Point Blank Shot</a>, <a href="Feats.php?Name=Set-up">Set-up</a>, <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>, <a href="Feats.php?Name=Skill%20Training">Skill Training</a>, <a href="Feats.php?Name=Slow%20Fall">Slow Fall</a>, <a href="Feats.php?Name=Sneak%20Attack">Sneak Attack</a>, <a href="Feats.php?Name=Talented">Talented</a>, <a href="Feats.php?Name=Uncanny%20Dodge">Uncanny Dodge</a>.</p><p><i>Monkey See Monkey Do:</i> You know how to show a monkey what you want, often making a fool out of yourself. You can handle or push your monkey as a fee action even if you aren't trained in <a href="Skills.php?Name=Handle%20Animal">Handle Animal</a>. You can convey complex messages to your monkey through simple pantomime. You get a +4 bonus on interaction checks with your monkey.|Your helpful monkey companion gets you out of trouble. Probably.|
Mounted Combat|General|Trained in <a href="Skills.php?Name=Drive">Drive</a> or <a href="Skills.php?Name=Ride">Ride</a>|You know how to maneuver a vehicle or mount in combat. Once each round, if your vehicle or mount would be hit by an attack, you can make a check using the relevant vehicle skill as a reaction to negate the hit. The skill check result must exceed the result of the opponent's attack roll. You can also make a check using the relevant vehicle skill as a full-round action (including the normal operation of the vehicle), in which case the skill result becomes the vehicle or mount's effective <a href="Combat.php#BaseDefense">Defense</a> for the entire round against all attacks.| Substitute <a href="Skills.php?Name=Drive">Drive</a> or <a href="Skills.php?Name=Ride">Ride</a> checks for vehicle or mount's Defense.
Mounted Overrun|General|<a href="Feats.php?Name=Mounted%20Combat">Mounted Combat</a>|When you attempt to <a href="CombatActions.php?Name=Overrun">overrun</a> an opponent while mounted or in a vehicle, your target may not choose to avoid you. A successfully-tripped target suffers +1 damage per 10 MPH of your vehicle's speed or your mount's normal melee damage (see <a href="CombatActions.php?Name=Overrun">Overrun</a>).|You can overrun more effectively while mounted or in a vehicle.
Move-by Action|General||When taking a <a href="CombatActions.php?Time=Standard">standard action</a> you can move both before and after the action, provided your total distance isn't greater than your movement speed.|Move both before and after your standard action.
Night Vision|General||You can see twice as far in low-light conditions as a normal human. Your vision is still hindered normally by total darkness.|See twice as far in low light conditions.
Ninja Weapon Training|General|Only available to characters with the Ninja Background (see <a href="CharGenBackgrounds.php">Backgrounds</a>)|You're trained in the use of <a href="EquipmentWeapons.php?Type=Ninja">ninja weapons</a>. Characters lacking Ninja Weapon Training suffer a -4 penalty on attack rolls with ninja weapons. This training also includes <a href="Feats.php?Name=Martial%20Weapon%20Training">Martial Weapon Training</a>, so that a character with Ninja Weapon Training can use all <a href="EquipmentWeapons.php?Type=Martial">martial weapons</a> with no penalty as well.|You are trained in the use of <a href="EquipmentWeapons.php?Type=Ninja">ninja weapons</a>.
Parry Focus|General||Your <a href="Combat.php#Parry">Parry</a> increases by +1. This bonus is lost anytime that you would be unable to use your <a href="Combat.php#Parry">Parry</a>. You can acquire this feat multiple times and its benefits stack.|+1 to your <a href="Combat.php#Parry">Parry</a>.
Pirate Savvy|General|Trained in <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a>|You may use your <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> skill for new purposes when near a coast. You can find a hidden cover, allowing you to use your <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> as per the <a href="Skills.php?Name=Stealth">Stealth</a> skill to keep your entire ship hidden from others, opposed by the <a href="Skills.php?Name=Notice">Notice</a> check of the captain following you. You can also lure those following you (or drive those you're pursuing) onto a reef or a shoal, allowing you to use the <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> skill as per the <a href="Skills.php?Name=Bluff">Bluff</a> skill opposed by the <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> of the captain following you. When in fog, rain, or darkness you can use your <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> skill as the <a href="Skills.php?Name=Stealth">Stealth</a> skill to sneak up on another ship.|You can use <a href="Skills.php?Name=Knowledge">Knowledge (sea lore)</a> to make <a href="Skills.php?Name=Stealth">Stealth</a> and <a href="Skills.php?Name=Bluff">Bluff</a> checks with your ship.
Point Blank Shot|General||You get a +1 bonus on <a href="Combat.php#AttackBonus">attack rolls</a> and <a href="Combat.php#Damage">damage</a> with all <a href="EquipmentWeapons.php?Range=Ranged">ranged weapons</a> at ranges up to 30 feet.|+1 attack and damage with ranged weapons at 30 ft. range.
Port Savvy|General||You gain a +3 bonus on all <a href="Skills.php?Name=Gather%20Information">Gather Information</a> and <a href="Skills.php?Name=Diplomacy">Diplomacy</a> checks when in seaside communities.|+3 bonus on <a href="Skills.php?Name=Gather%20Information">Gather Information</a> and <a href="Skills.php?Name=Diplomacy">Diplomacy</a> in seaside communities.
Power Focus|Adept||Choose a focus of some kind: a creature type or a location or situation that your character's <a href="Powers.php">powers</a> are particularly potent against or within. The focus may not be relative to you -- you may not choose "My Enemies" as your focus, for example. Your <a href="powers.html">powers</a> gain a +2 bonus to both <a href="Powers.php">Power Bonus and Power Save Difficulty</a> when used in accordance with the focus. You may take this feat multiple times. Each time you must choose a different focus.|+2 bonus with powers against a particular type of opponent.
Psychic Trap|Adept|Power: <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a>|You can psychically act against anyone who tries to overcome your psychic defenses. When an opponent attempts to use a <a href="Powers.php">power</a> against you and fails to overcome your <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a>, you get an immediate <a href="Powers.php">power</a> use against the attacker as a reaction. This can be any <a href="Powers.php">power</a> you can use as a standard or move action, but not a full-round action. If the <a href="Powers.php">power</a> requires mental contact, you are considered in mental contact with your opponent for the purposes of using it. You only get one free <a href="Powers.php">power</a> use per opponent per round, regardless of the number of attempts to overcome your <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a>. The reactive <a href="Powers.php">power</a> has its normal Difficulty and Resilience.|Act against someone who tries to overcome your <a href="Powers.php?Name=Psychic%20Shield">Psychic Shield</a>.
Quick Draw|General||You can draw or load a weapon as a free action, rather than a move action. You can only do one of these things as a free action each round; the other remains a move action, as normal. So you could draw a weapon as a free action, then load it as a move action, for example, but not draw and load it as a free action. Taking this feat a second time allows you to both draw and load a weapon in the same round as free actions.|Draw or reload a weapon as a free action.
Quicken Power|Adept||Once per round, you can use a <a href="Powers.php">power</a> that normally requires a full-round action as a standard action, or a <a href="Powers.php">power</a> that normally requires a standard action as a move action. You can't use <a href="Powers.php">powers</a> more quickly than a move action using this feat. The  Difficulty of the Resilience roll for the quickened <a href="Powers.php">power</a> increases by +8. |Reduce the time required to use your <a href="Powers.php">powers</a>.
Rage|Warrior||You can fly into a berserk rage as a free action, gaining +2 Strength, +2 to your Fortitude and Will saves, and a -2 penalty to <a href="Combat.php#BaseDefense">Defense</a>. While raging you can't use <a href="Skills.php">skills</a> or <a href="Powers.php">powers</a> requiring concentration or patience, and you can't take 10 or take 20 on checks. Your rage lasts until the end of the current scene, after which you are <a href="PlayingConditions.php?Name=Fatigued">fatigued</a>.<br />You can take this feat multiple times. Each time, you gain an additional +1 Strength and +1 Fortitude and Will save bonus to a maximum of +4 Strength and +4 to saves total (the -2 penalty to <a href="Combat.php#BaseDefense">Defense</a> and other effects remain the same).|You can go into a rage in combat.
Ranged Pin|General||You can pin an opponent using a <a href="EquipmentWeapons.php?Range=Ranged">ranged weapon</a> to nail a bit of clothing to a nearby surface. The target must be within 5 feet of a wall, tree, or similar surface. Make a normal attack roll against the target. If your attack is successful, the target is <a href="PlayingConditions.php?Name=Entangled">entangled</a> and cannot move. To break free, the victim must take a move action and make a successful Strength or <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a> check (Difficulty 15).|You can pin an opponent with a ranged attack.
Reckless Abandon|General||Add your Charisma to your <a href="Combat.php#Dodge">Dodge</a> whenever you are not wearing armour.|Add your Cha score to your <a href="Combat.php#Dodge">Dodge</a>.
Redirect|Expert||You can redirect a missed attack against you from that opponent at another target. Make a <a href="Skills.php?Name=Bluff">Bluff</a> check against your opponent as a standard action. If the <a href="Skills.php?Name=Bluff">Bluff</a> succeeds, and the opponent's next attack against you misses, you can redirect it as a reaction. The new target must be adjacent to you and within range of the attack. The attacker makes a new attack roll with the same modifiers as the first against the new target. If there are no other targets in range, you cannot redirect the attack, it simply misses.|Redirect a missed attack against another target.
Riposte|Warrior||If you are using your Parry and an opponent misses you with an armed melee attack, you can make <a href="Combat.php#ManeuverBonus">a Maneuver attempt</a> immediately as a free action.|Make <a href="Combat.php#ManeuverBonus">a Maneuver attempt</a> against someone who misses you.
Ritual Cannibalism|General|Only available to characters with the <a href="CharGenBackgrounds.php">Native background</a>|You can eat the heart of an animal, beast, humanoid, magical beast or monstrous humanoid that you have killed. Eating the heart allows you  to make an immediate <a href="CombatDamage.php#Recovery">Recovery check</a>, and provides a +1 bonus to Toughness saves for the rest of the current scene. It takes one minute to remove and eat the heart of a slain foe. Until you have made a Toughness save WITHOUT the +1 bonus from eating a heart, eating another heart has no effect.|Eat a heart and gain a Recovery check and +1 to your Toughness save.
Run|General||When running, you move five times your normal speed (if wearing medium, light, or no armor and carrying no more than a medium load) or four times your speed (if wearing heavy armor or carrying a heavy load). If you make a jump after a running start, you get a +4 bonus to your <a href="Skills.php?Name=Jump">Jump</a> check.|You run at five times your normal speed.
Second Chance|General||Choose a particular <a href="PlayingHazards.php">hazard</a>, such as falling, being tripped, triggering traps, being mentally controlled (or affected by another specific power), or a particular <a href="Skills.php">skill</a> with consequences for failure. If you fail a saving throw against that <a href="PlayingHazards.php">hazard</a> or a check with that <a href="Skills.php">skill</a>, you can immediately make another roll and use the better of the two results. Unlike spending a <a href="BasicsConviction.php">Conviction</a> point, you do not treat rolls below 10 as a result of 10. You only get one second chance against any given save or task, and the Narrator decides if a particular <a href="PlayingHazards.php">hazard</a> or <a href="Skills.php">skill</a> is an appropriate focus for this feat. <br />You can acquire this feat multiple times. Each time it applies to a different <a href="PlayingHazards.php">hazard</a> or skill.|You get a second chance against a particular <a href="PlayingHazards.php">hazard</a>.
Seize Initiative|Warrior||You can spend a <a href="BasicsConviction.php">Conviction</a> point to go first in the <a href="CombatInitiative.php">initiative order</a>, without having to roll for initiative. You may only do so when you would normally roll <a href="CombatInitiative.php">initiative</a>. If more than one character uses this feat, they roll for <a href="CombatInitiative.php">initiative</a> normally and act in order of their <a href="CombatInitiative.php">initiative</a> result, followed by all the other characters involved in the combat.|Spend a <a href="BasicsConviction.php">Conviction</a> point to go first in the <a href="CombatInitiative.php">initiative</a> order.
Shield Training|Warrior||You're trained in the proper use of <a href="EquipmentArmor.php#Shields">shields</a> in combat. You can use a shield and take only the standard penalties. Characters lacking Shield Training take their shield's armor check penalty on <a href="Combat.php#AttackBonus">attack rolls</a> and on <em>all</em> Strength- and Dexterity-based checks.|You're trained in the use of <a href="EquipmentArmor.php#Shields">shields</a> in combat.
Skill Focus|General||Choose a known <a href="Skills.php">skill</a>. You get a +3 bonus on all checks involving that <a href="Skills.php">skill</a>. You can acquire this feat multiple times. Each time you do, it applies to a different known <a href="Skills.php">skill</a>.|+3 bonus with a chosen <a href="Skills.php">skill</a>.
Skill Mastery|Expert||Choose four of your known <a href="Skills.php">skills</a>. When making checks with those <a href="Skills.php">skills</a>, you can take 10 even when distracted or under pressure. This feat does not allow you to take 10 with <a href="Skills.php">skills</a> that do not normally allow you to do so. You can acquire this feat multiple times. Each time you do, choose four other known <a href="Skills.php">skills</a> to master.|Choose four <a href="Skills.php">skills</a> you can take 10 with even under pressure.
Skill Training|General||Each time you take the Skill Training feat, you gain 4 additional <a href="Skills.php">skill ranks</a>. You may apply these ranks in any manner that you wish, although they do not allow any of your <a href="Skills.php">skills</a> to exceed the maximum rank for your level.|+4 skill ranks.
Slow Fall|Expert|<a href="Skills.php?Name=Jump">Jump</a> rank 5|You can slow a fall if within arm's reach of a wall or similar structure. Subtract 10 feet from the fall per two <a href="RolesExpert.php">expert</a> and <a href="RolesGeneralist.php">generalist</a> levels combined before determining damage, with falls of 0 or less doing no damage. At 20 levels of <a href="RolesExpert.php">expert</a> and <a href="RolesGeneralist.php">generalist</a>, you can use a nearby surface to slow your descent and fall any distance without harm.|You can slow your fall by 10 feet per two expert levels.
Smite Opponent|Warrior|<a href="Feats.php?Name=Favored%20Opponent">Favored Opponent</a>|You can charge a blow with the power of your determination. When you strike a <a href="Feats.php?Name=Favored%20Opponent">favoured opponent</a> in melee, you can activate this feat: add your Charisma score to your <a href="Combat.php#AttackBonus">attack roll</a> or your <a href="Combat.php#ManeuverBonus">maneuver roll</a> and half your <a href="RolesWarrior.php">warrior</a> level to your <a href="Combat.php#Damage">damage</a>. If you smite an opponent who is not actually a favored foe, there is no additional effect. Each time you activate this feat, regardless of whether the target is or is not actually a favored foe, you take a <a href="PlayingConditions.php?Name=Bruised">Bruised</a> condition.|You can inflict additional damage on your <a href="Feats.php?Name=Favored%20Opponent">favoured opponent</a>.
Snatch Arrows|Expert|<a href="Feats.php?Name=Deflect%20Arrows">Deflect Arrows</a>|When using the <a href="Feats.php?Name=Deflect%20Arrows">Deflect Arrows</a> feat, you may catch the weapon instead of just deflecting it. Thrown weapons can immediately be thrown back at the original attacker (even though it isn't your turn) or kept for later use.|You can catch ranged weapons.
Sneak Attack|Expert||When you make a surprise attack (see <a href="CombatModifiers.php?Name=Surprise%20Attack">Surprise Attack</a>), you do +2 damage. You cannot surprise attack an opponent you cannot perceive (due to <a href="CombatModifiers.php?Name=Concealment">concealment</a> or some other effect), and opponents immune to critical hits suffer no additional damage. Opponents who cannot be surprise attacked are also immune. You can take this feat multiple times, increasing your damage bonus by +1 each time, to a maximum of +5.|+2 damage with a <a href="CombatModifiers.php?Name=Surprise%20Attack">Surprise Attack</a>.
Spirit Familiar|Adept|<a href="Powers.php?Name=Summon%20Spirit">Summon Spirit</a>|You have a supernatural bond with a special spirit companion. Create a 1st-level spirit as your familiar (see Creature Types for spirit descriptions). This spirit now responds to your <a href="Powers.php?Name=Summon%20Spirit">Summon Spirit</a> power with more alacrity. Using <a href="Powers.php?Name=Summon%20Spirit">Summon Spirit</a> on your spirit familiar only takes a standard action, and is not fatiguing. In addition, you gain a +5 bonus on either <a href="Skills.php?Name=Diplomacy">Diplomacy</a> or <a href="Skills.php?Name=Intimidate">Intimidate</a> checks against your spirit familiar (choose which at the time you take this feat). For purposes of <a href="Skills.php?Name=Diplomacy">Diplomacy</a>, your spirit familiar is considered your ally. For purposes of <a href="Skills.php?Name=Intimidate">Intimidate</a>, your spirit familiar is always considered alone.</p><p>Each level you gain after taking this feat, the spirit familiar you chose gains a level of spirit. Your spirit familiar has an Intelligence of -2, a Wisdom of 0 and a Charisma of 0. As a spirit, it has no physical abilities. When your spirit familiar is fifth level, you can use <a href="Powers.php?Name=Summon%20Spirit">Summon Spirit</a> on it as a move action. When your spirit familiar is tenth level, you can use <a href="Powers.php?Name=Summon%20Spirit">Summon Spirit</a> on it as a free action.</p><p>You may take this feat more than once. Each time you take it, you acquire a new first-level spirit.|Acquire a friendly spirit companion.|
Spirit Savvy|Adept||You gain a +3 bonus on all <a href="Skills.php?Name=Bluff">Bluff</a>, <a href="Skills.php?Name=Diplomacy">Diplomacy</a> and <a href="Skills.php?Name=Sense%20Motive">Sense Motive</a> checks made against <a href="CreaturesTypes.php?Name=Spirit">spirits</a>.<br />Special: If you have the Spirit Savvy feat</a> and you take the <a href="Feats.php?Name=Power%20Focus">Power Focus</a> (spirits) feat, your bonus with the latter feat rises to +3 rather than +2.|+3 bonus on interaction skills against spirits.
Spirited Charge|Warrior|<a href="Feats.php?Name=Mounted%20Combat">Mounted Combat</a>|When mounted or on a vehicle and using the <a href="CombatActions.php?Name=Charge">charge action</a>, you deal +3 damage with a <a href="EquipmentWeapons.php?Range=Melee">melee weapon</a> (+4 damage with a lance).|Deal +3 damage with a <a href="EquipmentWeapons.php?Range=Melee">melee weapon</a> while <a href="CombatActions.php?Name=Charge">charging</a>.
Stunning Attack|Expert||When you make an unarmed attack, you can choose not to inflict normal damage. Instead, the target makes a Fortitude save against a Difficulty of 10 plus your unarmed damage bonus. A successful save results in no effect. A failed save means the target is <a href="PlayingConditions.php?Name=Dazed">dazed</a> for one round. Failure by 5 or more means the target is <a href="PlayingConditions.php?Name=Stunned">stunned</a> for one round, and failure by 10 or more renders the target <a href="PlayingConditions.php?Name=Unconscious">unconscious</a>.|You can make a stunning attack in melee.
Stunning Attack|Warrior||When you make an unarmed attack, you can choose not to inflict normal damage. Instead, the target makes a Fortitude save against a Difficulty of 10 plus your unarmed damage bonus. A successful save results in no effect. A failed save means the target is <a href="PlayingConditions.php?Name=Dazed">dazed</a> for one round. Failure by 5 or more means the target is <a href="PlayingConditions.php?Name=Stunned">stunned</a> for one round, and failure by 10 or more renders the target <a href="PlayingConditions.php?Name=Unconscious">unconscious</a>.|You can make a stunning attack in melee.
Subtle Power|Adept||You can use your <a href="Powers.php">powers</a> with less chance of notice. When using powers, you can mute their supernatural signature. Characters using <a href="Powers.php?Name=Second%20Sight">Second Sight</a> cannot detect your power use nor can its use be detected later using <a href="Powers.php?Name=Second%20Sight">Second Sight</a>. A subtle power use increases the Resilience Difficulty by +2.|You can mute the signature of your <a href="Powers.php">powers</a>.
Suggestion|Expert|<a href="Feats.php?Name=Fascinate">Fascinate</a> (for the same skill)|You can use an interaction skill to plant a suggestion in the mind of a subject you have fascinated (using the <a href="Feats.php?Name=Fascinate">Fascinate</a> feat). This works like a use of the <a href="Powers.php?Name=Suggestion">Suggestion power</a>, except you must interact with the target. The Difficulty of the target's Will save is 10 + half your expert level + your Charisma score.|You can plant suggestions into the minds of others.
Supernatural Focus|Adept||Choose one of your <a href="Powers.php">powers</a>. You gain a +3 bonus to power rank with that <a href="Powers.php">power</a>. You can take this feat more than once. Each time, it applies to a different <a href="Powers.php">powers</a>. These ranks only apply to the chosen power but otherwise they are treated and can be used just as regular ranks based on level.|Gain +3 ranks with a single <a href="Powers.php">power</a>.
Supernatural Strike|Adept|<a href="Feats.php?Name=Improved%20Strike">Improved Strike</a>|Your unarmed attacks are considered supernatural weapons for overcoming the defenses of creatures vulneraable to such weapons.|Your fists are supernatural weapons.
Supernatural Talent|Adept||Choose two <a href="Powers.php">powers</a> you possess. You gain a +2 bonus to power rank with those <a href="Powers.php">powers</a>. You can take this feat more than once. Each time, it applies to a different pair of <a href="Powers.php">powers</a>. These ranks only apply to the chosen power but otherwise they are treated and can be used just as regular ranks based on level.|+2 bonus with two chosen <a href="Powers.php">powers</a>.
Supernatural Weapon|Adept|<a href="Feats.php?Name=Martial%20Weapon%20Training">Martial Weapon Training</a> or <a href="Feats.php?Name=Ninja%20Weapon%20Training">Ninja Weapon Training</a> or <a href="Combat.php#CombatBonus">Combat Bonus</a> +3 or greater|You can imbue any weapon you wield with supernatural power. The weapon is considered supernatural for overcoming the defenses of creatures vulnerable to such weapons. You must personally wield the weapon for it to gain this benefit.|Your weapon becomes a supernatural weapon.
Talented|General||Choose two known and related <a href="Skills.php">skills</a>, such as <a href="Skills.php?Name=Survival">Survival</a> and <a href="Skills.php?Name=Stealth">Stealth</a> or <a href="Skills.php?Name=Acrobatics">Acrobatics</a> and <a href="Skills.php?Name=Climb">Climb</a>, or two specialties from a specialty <a href="Skills.php">skill</a>, such as <a href="Skills.php?Name=Craft">Craft</a> or <a href="Skills.php?Name=Knowledge">Knowledge</a>. You gain a +2 bonus with both <a href="Skills.php">skills</a>. You can take this feat multiple times. Each time it applies to two different <a href="Skills.php">skills</a>.|+2 bonus with two related <a href="Skills.php">skills</a>.
Throw Anything|General||You can pick up and throw any reasonably-sized object at hand as a dangerous weapon. Such items count as Simple weapons and have a range increment of 10 feet. You deal your normal unarmed damage with such items (including any bonuses you may have from <a href="Feats.php?Name=Improved%20Strike">Improved Strike</a> or <a href="Feats.php?Name=Attack%20Specialization">Attack Specialization (unarmed attack)</a>).</p><p>If no items are at hand, you cannot use this feat to spontaneously cause them to appear. Unless your Narrator thinks it would be cool.|Make effective use of nearby objects as ranged weapons.
Tough|Warrior||Your <a href="BasicsSavingThrows.php">Toughness save</a> bonus increases by +1. You can take this feat multiple times and its benefits stack, up to a maximum +5 bonus to your <a href="BasicsSavingThrows.php">Toughness saves</a>. This bonus stacks with any worn <a href="EquipmentArmor.php">armor</a> or other protection.|+1 bonus on <a href="BasicsSavingThrows.php">Toughness saves</a>.
