Name|Level|Type|SubType|Size|Speed|Abilities|Skills|Feats|Traits|Combat|SavingThrows|Description|Details|
Hopping Vampire|6th|Undead||Medium|20ft.|Str +3, Dex +1, Con --, Int -2, Wis -1, Cha +1|Jump!+14!0 ranks, +3 Str, +8 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>;Notice!+8!9 ranks, -1 Wis|Attack Focus! (claw),;Skill Focus! (<a href="Skills.php?Name=Jump">Jump</a>),;Tough! (x2)|Curse of Vampirism, Breath Sense, <a href="CreaturesTraits.php?Name=Damage%20Reduction">Damage Reduction</a> +2/magic, <a href="CreaturesTraits.php?Name=Resistance%20to%20Energy">Resistance to</a> cold and electricity +2, <a href="CreaturesTraits.php?Name=Supernatural%20Resistance">Supernatural Resistance</a> 15|+5!(+3 base, +1 Dex, +1 Attack Focus);+4!(claw);+1/--!(+3 base, +1 Dex);+1|+5!+3 natural armor, +2 <a href="Feats.php?Name=Tough">Tough</a>;+2!+2 base;+3!+2 base, +1 Dex;+4!+5 base, -1 Wis|A stiffened corpse with its arms held out in front of it, a hopping vampire is a deadly foe, despite its somewhat comical appearance. Because of the rigidity of the dead body, a hopping vampire can only move about by making short hops, but it can move with deceptive speed and agility when it sense prey nearby.|<b>Breath Sense:</b> Hopping vampires cannot see living things, and only detect them by the scent of their breath. This gives hopping vampires the <a href="CreaturesTraits.php?Name=Blindsight">blindsight</a> trait (with a range of 120 feet), but stalwart folks can hold their breath to avoid being noticed by a nearby hopping vampire. Noise also attracts them, and they may make unseeing attacks (as though the target had <a href="CombatModifiers.php?Name=Concealment">concealment</a>) if they think prey is nearby.</p><p><b>Curse of Vampirism:</b> Anyone suffering a <a href="PlayingConditions.php?Name=Wounded">wounded</a> result from a Hopping Vampire's claw attack must succeed at a Fortitude Save (DC 13) or contract a curse that turns her into a hopping vampire herself. This is hard to counteract, but determined folks usually find a way. Sticky rice, abstaining from anything fun, constant dancing about and the consultations of learned scholars are almost always involved. If no assistance is found, the victim dies in 12 hours and rises as a hopping vampire in another 12 hours from that point.</p><p><b>Skills:</b> A hopping vampire has a +8 racial bonus on <a href="Skills.php?Name=Jump">Jump</a> checks.|
Liopleurodon|20th|Animal||Colossal|10ft., swim 100 ft.|Str +12, Dex +2, Con +8, Int -4, Wis +2, Cha +0|Notice!+26!24 ranks, +2 Wis;Stealth!-14*!0 ranks, +2 Dex, -16 size;Swim!+20!0 ranks, +12 Str, +8 bonus|Attack Focus! (bite),;Dodge Focus!,;Great Fortitude!,;Improved Grab!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Tough! (x3)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+10!(-8 size, +15 base, +2 Dex, +1 Attack Focus);+21!(bite);+10/--!(-8 size, +15 base, +2 Dex, +1 <a href="Feats.php?Name=Dodge%20Focus">Dodge Focus</a>);+2|+22!+8 size, +8 Con, +3 natural, +3 <a href="Feats.php?Name=Tough">Tough</a>;+22!+12 base, +8 Con, +2 <a href="Feats.php?Name=Great%20Fortitude">Great Fortitude</a>;+14!+12 base, +2 Dex;+8!+6 base, +2 Wis|A liopluerodon is an immense aquatic predator, 80 feet in length and weighing easily 300,000 pounds. These gigantic creatures sail through warm shallow seas, eating anything and everything that comes within range. For all their size they are capable of swift movement. They fear nothing and any attack that does manage to damage them is only likely to stir up their rage. They are known to attack ships, and areas that liopleurodon have claimed as their hunting grounds are avoided by all captains.|<b>Skills:</b> A liopluerodon has a +8 racial bonus on any  <a href="Skills.php?Name=Swim">Swim</a> check to perform some special action or avoid a hazard. It can always choose to take 10 on a  <a href="Skills.php?Name=Swim">Swim</a> check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.</p><p><b> <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to two sizes smaller; +17 bludgeoning damage and +8 acid damage per round; gizzard Toughness save +9; a liopluerodon's gizzard can hold 2 Large, 8 Medium, 32 Small, or 128 Tiny or smaller opponents.</p><p>*A liopluerodon has a +8 racial bonus on <a href="Skills.php?Name=Stealth">Stealth</a> checks in water.|
Manticore Cactus|6th|Plant||Large|0 ft.|Str -2, Dex +1, Con +2, Int --, Wis -2, Cha -4|||Paralysis, <a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">Ability Drain</a>, Water Sight|+4!(+4 base, +1 Dex, -1 size) or <b>+6</b> <a href="CombatActions.php?Name=Grapple">grapple</a>;+3! ranged (and paralysis) or <b>+1</b> melee (and paralysis);14/--!(+4 base, +1 Dex, -1 size);+1|+8!+2 Con, +6 natural armor;+7!+5 base, +2 Con;+3!+2 base, +1 Dex;+0!+2 base, -2 Wis|Vegetable predators, manticore cactii can sense any craeture with water in its body that comes nearby. These dangerous plants lash out with the lengthy black spines to kill or paralyze their prey and soak their wide-ranging roots in moist flesh. Their needles have a range increment of 10 feet and a maximum range of 50 feet.</p><p>Manticore cactii grow in arid regions, usually along game trails where a source of watery prey is abundant. Characters can recognize such a plant with a Difficulty 20 <a href="Skills.php?Name=Survival">Survival</a> check or a Difficulty 25 <a href="Skills.php?Name=Knowledge">Knowledge</a> (local) check.|<b>Paralysis:</b> In addition to taking regular damage, a target hit by a manticore cactus' flung needles must make a Difficulty 15 Fortitude save or be <a href="PlayingConditions.php?Name=Paralyzed">paralyzed</a> for 1 minute. The save Difficulty is Constitution-based.</p><p><b>Ability Drain:</b> A manticore cactus within 30 feet of a helpless creature can make a +6 <a href="CombatActions.php?Name=Grapple">grapple</a> (with an additional +4 since the target is probably <a href="PlayingConditions.php?Name=Prone">prone</a>) attempt against that creature. On a successful check the victim takes +2 damage as the cactus' root extrude long needles and sink them into the victim's flesh. Every following round, the victim takes 1 point of Constitution damage as the cactus drains water and nutrients from the hapless creature. The cactus may make a <a href="CombatDamage.php#Recovery">recovery check</a> as a free action for every point of Constitution thus drained.</p><p><b>Water Sight:</b> Manticore cactii are incredibly sensitive to moisture nearby, allowing them to automatically detect the presence of water -- and in effect most living creatures -- within 100 feet. Drenching the plant in water (requiring at least a gallon of water) effectively blinds it until the water evaporates.|
Mechanithrall|5th|Necrotech Construct||Medium|30 ft.|Str +3, Dex +1, Con --, Int -2, Wis +0, Cha -2|Climb!+6!3 ranks, +3 Str;Notice!+3!3 ranks, +0 Wis;Stealth!+4!3 ranks, +1 Dex|Improved Initiative!,;Lightning Reflexes!|<a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> 60 ft., Steamslam|+4!(+3 base, +1 Dex);+7!(slam);+4/+6!(+3 base, +1 Dex/+3 Str);+5|+4!+4 natural armor;+1!+1 base, +0 Con;+2!+1 base, +1 Dex;+4!+4 base, +0 Wis|These terrible creations hiss and clank and whirr as their necromechanical engines drive them forward. Hideous corpses given animation through both magic and bizarre mechanics, they appear as a hybrid of dead flesh, gears and bolts, mechanical joints grinding as they move. Their immense fists are charged with steam-powered fury.|<b>Steamslam:</b> A mechanithrall can use the steam building up in its mechanical fittings to deliver a powerful punch to its opponent. This sudden extension of its forearm attacks with an additional +4 attack bonus and does an extra +3 damage on top of the normal punch attack. After making a steamslam attack, a mechanithrall takes a level of <a href="CombatDamage.php">non-lethal damage</a>. A mechanithrall that falls <a href="PlayingConditions.php?Name=Unconscious">unconscious</a> simply stands perfectly still, unable to take actions. As it has no Constitution score and cannot succeed on Recovery checks, an unconscious mechanthrall remains unconscious until ten hours have passed, at which point its engine has built up enough pressure for the construct to begin operating again, and it immediately awakens with all non-lethal damage removed.|
Megaraptor|8th|Animal||Huge|60 ft.|Str +5, Dex +2, Con +5, Int -4, Wis +2, Cha +0|Jump!+25!11 ranks, +5 Str, +8 bonus, +2 speed;Notice!+10!0 ranks, +2 Dex, +8 bonus;Stealth!+2!0 ranks, +2 Dex, +8 bonus, -8 size;Survival!+10!0 ranks, +2 Wis, +8 bonus|Double Strike!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Run!,;Tough!,;Track!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>| <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+6!(-2 size, +6 base, +2 Dex);+11!(talons) or <b>+6</b> (foreclaws) or <b>+9</b> (bite);+6/--!(-2 size, +6 base, +2 Dex);+2|+13!+4 size, +5 Con, +3 natural,+1 <a href="Feats.php?Name=Tough">Tough</a>;+11!+6 base, +5 Con;+8!+6 base, +2 Dex;+4!+2 base, +2 Wis|</p><p>This creature is a larger version of the <a href="Creatures.php?Name=Deinonychus">deinonychus</a>, standing about 12 feet tall with a total length of 24 feet. It has the same appearance, habits and abilities of the smaller version.|<b> <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>:</b> If a megaraptor charges, it can attack a single target with both its talons and its bite in a single round.</p><p><b>Skills:</b> A megaraptor has a +8 racial bonus on <a href="Skills.php?Name=Jump">Jump</a>, <a href="Skills.php?Name=Notice">Notice</a>, <a href="Skills.php?Name=Stealth">Stealth</a> and <a href="Skills.php?Name=Survival">Survival</a> checks.|
Mosquito, Giant|2nd|Vermin||Small|10 ft., fly 50 ft. (average)|Str +0, Dex +4, Con +1, Int --, Wis +0, Cha -3|Notice!+4!0 ranks, +4 bonus|!--|Attach, Blood Drain, <a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> (60 ft.), <a href="CreaturesTraits.php?Name=Disease">Disease</a>|+6!(+1 size, +4 Dex);+1!(bite, plus blood drain);+6/--!(+1 size, +4 Dex);+4|+1!+1 Con;+3!+2 base, +1 Con;+4!+2 base, +2 Dex;+0!+0 base, +0 Wis|</p><p>Giant mosquitoes are nearly a yard long. They are mostly found in swampy areas, and other places with stagnant water.|<b>Attach:</b> If a giant mosquito hits with a bite attack, it latches onto the opponent's body. An attached mosquito is effectively <a href="PlayingConditions.php?Name=Grappled">grappling</a> its prey. The giant mosquito is unable to use its <a href="Combat.php#Dodge">Dodge</a>, but holds on with great tenacity. Giant mosquitoes have a +12 racial bonus on <a href="CombatActions.php?Name=Grapple">grapple</a> checks. An attached mosquito can be struck with a weapon or grappled itself. To remove an attached mosquito through grappling, the opponent must achieve a pin against the mosquito.</p><p><b>Blood Drain:</b> An attached giant mosquito drains blood, dealing 1 point of Constitution damage each round it begins its turn attached to a victim. Once it has dealt 2 points of Constitution damage, it detaches and flies off to digest the meal. If its victim dies before the mosquito's appetite has been sated, the mosquito detaches and seeks new prey.</p><p><b> <a href="CreaturesTraits.php?Name=Disease">Disease</a>:</b> There is 10% chance (19-20 on a d20) that any given giant mosquito is carrying a disease of some variety. Anyone bitten by a disease-carrying giant mosquito has a chance of contracting the disease.</p><p><b>Skills:</b> A giant mosquito has a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Ndalawo|10th|Undead|Incorporeal|Medium|40 ft., fly 60ft.|Str --, Dex +6, Con --, Int -3, Wis +2, Cha -2|Notice!+23!13 ranks, +2 Wis, +8 bonus;Stealth!+14!0 ranks, +6 Dex, +8 bonus|Dodge Focus! (x2),;Double Strike!,;Move-by Action|<a href="CreaturesTraits.php?Name=Ability%20Score%20Loss">Ability Damage</a>, Create Spawn, <a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> to 60 feet, <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>|+11!(+5 base, +6 Dex) or (<b>+9</b> bite and <b>+9</b> claw);+1!(claw) or <b>+2 Str</b> (bite);23/--!(+5 base, +6 Dex, +2 <a href="Feats.php?Name=Dodge%20Focus">Dodge Focus</a>);+6|+0!+0 base, - Con;--;+9!+3 base, +6 Dex;+9!+7 base, +2 Wis|Also known as the shadow leopard, the ndalawo is a leopard that has been transformed into an undead shadow.|<b>Ability Damage:</b> Any living creature struck by the ndalawo's claws suffers 1 point of Str damage, and any living creature struck by its bite suffers 2 points of Str damage. Any creature killed by the ndalawo becomes a shadow under its control.</p><p><b>Create Spawn:</b> Any creature killed by a ndalawo becomes a <a href="CreaturesTemplates?Name=Ghost">ghost</a> under the ndalawo's control three rounds after its death.|
Onijegi|1st|Monstrous Humanoid|Aquatic|Medium|5 ft., swim 50 ft.|Str +0, Dex +1, Con +1, Int +0, Wis +0, Cha +1|Notice!+4!0 ranks, +0 Wis, +4 bonus;Swim!+8!0 ranks, +0 Str, +8 bonus|Exotic Weapon Training! (<a href="EquipmentWeapons.php?Name=Net">net</a>)|<a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> out to 60 feet.|+2!+1 base, +1 Dex;+3! (<a href="EquipmentWeapons.php?Name=Spear">spear</a>);12/11!(+1 base, +1 Dex/+1 base, +0 Str);+1|+1!+1 Con;+1!+0 base, +1 Con;+3!+2 base, +1 Dex;+2!+2 base, +0 Wis|Onijegi are merfolk; beautiful humans from the waist up, and long scaly tails below. They are usually dark-skinned with green and blue highlights in their hair, and the bright colours of tropical fish in their scales. The adorn themselves with coral and shells. Groups of onijegi can be found sunning themselves on exposed rocks, telling stories of their hunts and the intrigues among their undersea nations. They are usually friendly and talkative, but can be dangerous if for some reason they feel threatened or otherwise suspicious.|Onijegi may advance in any of the <a href="Roles.php">heroic roles</a>.</p><p><b>Skills:</b> Onijegi receive a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks. Onijegi also receive a +8 racial bonus on <a href="Skills.php?Name=Swim">Swim</a> checks. Onijegi may always choose to take 10 on <a href="Skills.php?Name=Swim">Swim</a> checks, even if rushed or threatened. An onijegi can use a <a href="CombatActions.php?Name=Move%20All%20Out">move all out</a> action when swimming, provided it travels in a straight line.|
Pachycephalosaurus|13th|Animal||Huge|60 ft.|Str +8, Dex +2, Con +4, Int -5, Wis +2, Cha -1|Notice!+24!17 ranks, +2 Wis +2 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Great Fortitude!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x3)| <a href="CreaturesTraits.php?Name=Powerful%20Charge">Powerful Charge</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+9!(-2 size, +9 base, +2 Dex);+13!(headbutt);+9/--!(-2 size, +9 base, +2 Dex);+2|+12!+4 size, +4 Con, +1 natural, +3 <a href="Feats.php?Name=Tough">Tough</a>;+14!+8 base, +4 Con, +2 <a href="Feats.php?Name=Great%20Fortitude">Great Fortitude</a>;+10!+8 base, +2 Dex;+6!+4 base, +2 Wis|A pachycephalosaurus has a body about 25 feet long and weighs about 15,000 pounds. It stands on two legs and is characterized by a massive bare skull of solid bone that it uses as a powerful battering ram. These creatures travel in large herds and will defend their young against any intruders of Large size or greater. Smaller creatures will be ignored unless they attack or otherwise threaten the herd, at which point the strongest members will begin charging one after the other until the threat is gone.|<b><a href="CreaturesTraits.php?Name=Powerful%20Charge">Powerful Charge</a>:</b> When a pachycephalosaurus charges, its headbutt attack deals +18 damage.</p><p><b>Skills:</b> A pachycephalosaurus has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Parasaurolophus|15th|Animal||Gargantuan|30 ft.|Str +8, Dex +1, Con +3, Int -5, Wis +1, Cha -1|Notice!+23!18 ranks, +1 Wis, +4 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Great Fortitude!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x4)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Trample">Trample</a>|+8!(-4 size, +11 base, +1 Dex);+4!(bite);+8/--!(-4 size, +11 base, +1 Dex);+1|+14!+6 size, +3 Con, +1 natural, +4 <a href="Feats.php?Name=Tough">Tough</a>;+14!+9 base, +3 Con, +2 <a href="Feats.php?Name=Great%20Fortitude">Great Fortitude</a>;+10!+9 base, +1 Dex;+6!+5 base, +1 Wis|A parasaurolophus is a non-agressive herbivore that will almost always choose to run from any danger. Its only attack, a weak bite, is unlikely to deter predators, and it will only <a href="CreaturesTraits.php?Name=Trample">Trample</a> other creatures accidentally.</p><p>These creatures are 35 feet long and weigh in excess of 25,000 pounds. Despite their inoffensive nature, they can be very dangerous because of their tendencies to form immense herds and to run from danger. Being caught in front of a stampeding herd of these animals can be as dangerous as any attack from a more ferocious dinosaur.|<b>Skills:</b> A parasaurolophus has a +4 bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p><b><a href="CreaturesTraits.php?Name=Trample">Trample</a>:</b> Damage +12, Reflex Save DC 23 for half damage. The save difficulty is Strength-based.|
Pteranodon|8th|Animal||Huge|15 ft., fly 50ft. (poor)|Str +2, Dex +2, Con +1, Int -5, Wis +1, Cha -1|Notice!+19!11 ranks, +1 Wis, +4 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Dodge Focus!,!Move-by Action!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+6!(-2 size, +6 base, +2 Dex);+5!(bite);+7/--!(-2 size, +6 base, +2 Dex, +1 <a href="Feats.php?Name=Dodge%20Focus">Dodge Focus</a>);+2|+5!+4 size, +1 Con;+7!+6 base, +1 Con;+8!+6 base, +2 Dex;+3!+2 base, +1 Wis|A pteranodon is a soaring fish-eater that is not above scavenging any creature that looks big enough to form a meal and small enough to not be much of a threat. They nest in vast clifftop rookeries overlooking the oceans where they hunt, and any intrusion into their nesting grounds will be met with shrieks and diving attacks from all sides.</p><p>Pteranodons have a wingspan of 30 feet, but only weighs 100 pounds. Their light construction means that they can only carry a <a href="PlayingPhysical.php#Carrying">Medium Load</a> for their strength (116 pounds).|<b>Skills:</b> A pteranodon has a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Quetzalcoatlus|14th|Animal||Gargantuan|10 ft., fly 40ft. (poor)|Str +6, Dex +1, Con +2, Int -5, Wis +1, Cha -1|Notice!+25!17 ranks, +1 Wis, +4 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Dodge Focus!,;Move-by Action!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Snatch!,;Tough| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+7!(-4 size, +10 base, +1 Dex);+8!(bite);18/--!(-4 size, +10 base, +1 Dex, +1 <a href="Feats.php?Name=Dodge%20Focus">Dodge Focus</a>);+1|+9!+6 size, +2 Con,+1 <a href="Feats.php?Name=Tough">Tough</a>;+11!+9 base, +2 Con;+10!+9 base, +1 Dex;+5!+4 base, +1 Wis|A quetzalcoatlus is an immense aerial scavenger that soars high to find the huge corpses of dinosaurs far below. Enormous beyond belief, these creatures will vigourously defend their meals, or even attack to drive off smaller animals. Lingering near a dead dinosaur can often mean a sudden attack from above.</p><p>Quetzalcoatli have a wingspan of 50 feet, and weigh 300 pounds. Their light construction means that they can only carry a <a href="PlayingPhysical.php#Carrying">Medium Load</a> for their strength (346 pounds).|<b>Skills:</b> A quetzalcoatlus has a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Rat|1st|Animal||Tiny|15 ft., climb 15 ft., swim 15 ft.|Str -4, Dex +2, Con +0, Int -4, Wis +1, Cha -4|Acrobatics!+10!0 ranks, +2 Dex, +8 bonus;Climb!+12!2 ranks, +2 Dex, +8 bonus;Stealth!+16!2 ranks, +2 Dex, +8 bonus, +4 size;Swim!+10!0 ranks, +2 Dex, +8 bonus|Evasion!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+4!(+2 Dex, +2 size);-4!(unarmed);14/--!(+2 Dex, +2 size);+2|-2!0 Con, -2 size;+2!+2 base;+4!+2 base, +2 Dex;+1!+0 base, +1 Wis|Found nearly everywhere, rats are not particularly dangerous animals, but gathered in swarms they can overwhelm unsuspecting foes.|<b>Skills:</b> Rats have a +4 racial bonus on <a href="Skills.php?Name=Stealth">Stealth</a> checks, and a +8 racial bonus on <a href="Skills.php?Name=Acrobatics">Acrobatics</a>, <a href="Skills.php?Name=Climb">Climb</a>, and  <a href="Skills.php?Name=Swim">Swim</a> checks. A rat can always choose to take 10 on <a href="Skills.php?Name=Climb">Climb</a> checks, even if rushed or threatened. A rat uses its Dexterity modifier instead of its Strength modifier for <a href="Skills.php?Name=Climb">Climb</a> and  <a href="Skills.php?Name=Swim">Swim</a> checks. A rat has a +8 racial bonus on any  <a href="Skills.php?Name=Swim">Swim</a> check to perform some special action or avoid a hazard. It can always choose to take 10 on a  <a href="Skills.php?Name=Swim">Swim</a> check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.|
Rat, Dire|1st|Animal||Small|40 ft., climb 20 ft.|Str +0, Dex +3, Con +1, Int -5, Wis +1, Cha -3|Climb!+11!0 ranks, +3 Dex, +8 bonus;Notice!+4!3 ranks, +1 Wis;Stealth!+8!1 rank, +3 Dex, +4 size;Swim!+11!0 ranks, +3 Dex, +8 bonus|Evasion!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>| <a href="CreaturesTraits.php?Name=Disease">Disease</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+4!(+3 Dex, +1 size);+0!(bite);+4/--!(+3 Dex, +1 size);+2|+0!+1 Con, -1 size;+3!+2 base, +1 Con;+5!+2 base, +3 Dex;+1!+0 base, +1 Wis|Dire rats are hideous rodents up to 4 feet long.|<b> <a href="CreaturesTraits.php?Name=Disease">Disease</a>:</b> There is 10% chance (19-20 on a d20) that any given dire rat is carrying a disease of some variety. Anyone bitten by a disease-carrying dire rat has a chance of contracting the disease.</p><p><b>Skills:</b> Dire rats have a +8 bonus on  <a href="Skills.php?Name=Swim">Swim</a> checks. Dire rats have a +8 racial bonus on <a href="Skills.php?Name=Climb">Climb</a> checks and can always choose to take 10 on <a href="Skills.php?Name=Climb">Climb</a> checks, even if rushed or threatened. Dire rats use their Dexterity modifier for <a href="Skills.php?Name=Climb">Climb</a> and  <a href="Skills.php?Name=Swim">Swim</a> checks.</p><p>Anyone bitten by a dire rat must make a Fortitude save (Difficulty 13) to avoid being infected with a disease doing 1 point of Constitution damage.|
Reliquary Guardian|7th|Construct||Tiny|20 ft.|Str +3, Dex +5, Con --, Int --, Wis +3, Cha +1||Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>|<a href="CreaturesTraits.php?Name=Poison">Poison</a>, <a href="CreaturesTraits.php?Name=Damage%20Reduction">Damage Reduction</a> +3/supernatural, Magic Tracking, <a href="CreaturesTraits.php?Name=Supernatural%20Resistance">Supernatural Resistance</a> 13|+12!+5 base, +5 Dex, +2 size;+4!(spear plus poison);22/20!(+5 base, +5 Dex, +2 size/+5 base, +3 Str, +2 size);+5|+1!+0 Con, -2 size, +3 natural armor;+2!+2 base, +0 Con;+7!+2 base, +5 Dex;+5!+2 base, +3 Wis|Reliquary guardians are magical constructs created to protect the remains of honoured ancestors. They are harmless statuettes until placed upon a container holding the remains of a dead human being.</p><p>Once that happens, the construct becomes active. It will animate and attack anyone that approaches within 5 feet of the container unless that person is a direct descendant of the person whose body it guards. The guardian can magically detect the proper bloodline, and it cannot be fooled. Note that while the guardian will nto attack direct descendants, it is not under their control, either. If a direct descendant removes the reliquary guardian from its resting place, it becomes inactive until reset.|<b>Magic Tracking:</b> A reliquary guardian can sense the exact location of the remains and grave items it is tasked to guard from any distance. If the remains or any grave items are stolen, it can track the missing objects perfectly over any distance.</p><p><b>Poison:</b> The reliquary guardian's spear is tipped with poison. Any creature that suffers damage from the spear must succeed on a Difficulty 13 Fortitude save or suffer 2 points of Strength damage. After 1 minute, the victim must make another Fortitude save or suffer an additional 2 points of Strength damage.|
Sea Drake|12th|Supernatural Beast|Aquatic|Huge|20 ft., swim 60 ft.|Str +9, Dex +2, Con +6, Int -4, Wis +1, Cha +2|Notice!+9!0 ranks, +1 Wis, +8 bonus;Swim!+17!0 ranks, +9 Str, +8 bonus|Attack Focus! (bite),;All-out Attack!,;Improved Initiative!,;!<a href="Powers.php">Power</a> (<a href="Powers.php?Name=Water%20Shaping">Water Shaping</a>),;Snatch|Bellow, Hurricane Breath, Ink Cloud|+12!(+12 base, +2 Dex, -2 size) (<b>+13</b> bite);+14!(bite), <b>+10</b> (claw);22/--!(+12 base, +2 Dex, -2 size);+6!(+2 Dex, +4 <a href="Feats.php?Name=Improved%20Initiative">Improved Initiative</a>)|+16!+6 Con, +4 size, +6 natural armor;+14!+8 base, +6 Con;+10!+8 base, +2 Dex;+5!+4 base, +1 Wis|Bane to ship captains everywhere, sea drakes are agressive and territorial creatures with a fondness for attacking passing ships. They are long, serpentine reptiles with fearsome webbed claws.</p><p>Their ability to unleash a blast of tornado-strength wind can easily blow an entire crew from their vessel or even scuttle smaller ships. A sea drake seeking to escape can unleash a cloud of foul-smelling ink to conceal its retreat.|<b>Bellow:</b> A sea drake can release a horrible roar. Anyone caught within the 40-foot cone of this effect must make a Difficulty 22 Reflex save or be knocked back 5 feet and take +2 damage. The save Difficulty is Constitution-based.</p><p><b>Hurricane Breath:</b> Three times per day a sea drake can unleash a breath of incredibly violent wind. Treat this as a use of the <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a> power that emanates from the sea drake's direction and alsts until its next turn. This is a blast of hurricane-force wind. Creatures of Medium size or smaller must make a Difficulty 22 Fortitude save or be blown away. The save Difficulty is Constitution-based. A creature blown away is knocked prone and rolls away from the sea drake 20 feet + 1 foot for every 1 point by which the creature failed its Fortitude save. The creature takes +1 damage for every 10 feet it is blown back.</p><p><b>Ink Cloud:</b> A sea drake can emit a spherical cloud of jet-black ink with a radius of 100 feet once per day. This cloud is completely impenetrable to any sort of vision, including <a href="Feats.php?Name=Night%20Vision">Night Vision</a>. This ability has no effect outside wataer.</p><p><b>Water Shaping:</b> A sea drake can use the <a href="Powers.php?Name=Water%20Shaping">Water Shaping</a> power as though it had power ranks equal to its level.</p><p><b>Skills:</b> Sea drakes have a +8 racial bonus on Notice and Swim checks. A sea drake can always choose to take 10 on a Swim check, even if rushed or threatened. A sea drake can use the run action while swimming but only if it moves in a straight line.|
Shark|3rd|Animal||Medium|swim 60 ft.|Str +1, Dex +2, Con +1, Int -5, Wis +1, Cha -4|Notice!+7!6 ranks, +1 Wis;Swim!+9!0 ranks, +1 Str, +8 bonus|Tough! (x3)| <a href="CreaturesTraits.php?Name=Blindsense">Blindsense</a>, Keen Scent|+4!(+2 Dex);+3!(bite);14/--!(+2 Dex);+2|+4!+1 Con, +3 Tough;+4!+3 base, +1 Con;+5!+3 base, +2 Dex;+2!+1 base, +1 Wis|Sharks are aggressive, carnivorous, fish liable to make unprovoked attacks against anything approaching them. Medium sharks are from 5 to 8 feet long and not usually dangerous to creatures other than their prey (smaller fish and sea mammals).|<b>Keen Scent:</b> A shark can notice creatures by scent in a 180-foot radius and detect blood in the water at ranges of up to a mile.|
